"DR1TSELE","LBXBSE","age","sex_male_i","race","education","pir","smoke","drink","pred","se_model"
35.19,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00308837971993295,0.00478989441435482
46.06,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00326796951401613,0.00469203547374278
54.39,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00339887213215606,0.00462578980945257
62.2,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0035152476907899,0.00457038793709587
68,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00359715475260214,0.00453349378600504
74.5,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00368416828131045,0.00449672221558784
80.9,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00376602116151597,0.00446571176683029
87.3,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00384555553076851,0.00444015725953657
93,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00391562823012708,0.00442196117453164
99,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00398979715721764,0.00440714338078935
106.5,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00408490152451038,0.00439406726344019
114.62,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00419226928465913,0.00438583075527366
121.7,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00428919128964876,0.00438372806824515
130.64,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0044150898725433,0.00438851082694726
141.7,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00457473687003796,0.00440730424812986
153.18,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00474292126676577,0.00444314850736137
165.6,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00492596375135678,0.00450069478605606
187,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00524354747615491,0.0046424545567851
223.28,148.527,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00578815449692324,0.00498960444598146
35.19,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00268638743146278,0.00465598426431034
46.06,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00288973950428655,0.00457671288919215
54.39,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00303929455603191,0.00452298384584787
62.2,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00317357671936273,0.00447795923361503
68,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00326907942734203,0.00444790697202334
74.5,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00337164654746962,0.00441788171358163
80.9,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0034690806412118,0.00439248478813062
87.3,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00356437973978408,0.00437147134617533
93,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00364858177548596,0.00435641925651865
99,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00373764879024577,0.00434404316952959
106.5,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00385131233887633,0.00433289959672471
114.62,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00397860828910806,0.00432550664551508
121.7,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00409277007498132,0.0043230807454625
130.64,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00424027574365474,0.00432595187811345
141.7,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00442643711235286,0.00433986568521164
153.18,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00462193464495014,0.00436755354528133
165.6,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00483432671763434,0.0044128230126426
187,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00520200866328614,0.00452594183924069
223.28,155.818,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00583021509292186,0.00480749644444757
35.19,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00241911821354522,0.00457998531490979
46.06,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0026377451091614,0.00451145440090309
54.39,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00279948699800379,0.00446495250774441
62.2,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00294565026882235,0.00442594000877028
68,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00305029979720011,0.00439986837110896
74.5,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00316346098197935,0.00437377566951836
80.9,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00327160726449092,0.00435163776804091
87.3,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00337779968722677,0.0043332329646125
93,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0034717771665454,0.0043199632584271
99,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00357113041574,0.00430896118011974
106.5,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00369752663723804,0.00429893548854748
114.62,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00383835391539118,0.00429214278990154
121.7,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00396411749038494,0.00428971957992989
130.64,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00412605578766413,0.00429180556778071
141.7,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00432981387239791,0.00430332984145428
153.18,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00454337827028119,0.00432669442005345
165.6,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00477517742749958,0.00436517634032164
187,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00517598446023053,0.0044619683101673
223.28,160.638,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00585946193251709,0.00470506343976824
35.19,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00218645302763401,0.00452236446944524
46.06,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00241801733034524,0.00446206368792191
54.39,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0025902223133628,0.00442110236063887
62.2,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0027467143586327,0.00438671557746093
68,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00285940324276698,0.00436371978149835
74.5,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0029819649083935,0.00434067444082833
80.9,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00309968373081045,0.00432106014275726
87.3,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00321564743179102,0.00430466638820479
93,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0033184015735755,0.004292763821105
99,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00342697603960402,0.00428281706209854
106.5,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00356473229196159,0.00427367820411921
114.62,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0037175376633623,0.00426743949527515
121.7,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00385350057476303,0.00426514928239991
130.64,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00402805269084527,0.00426684059312739
141.7,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00424711138473472,0.00427680463932129
153.18,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00447634352257699,0.00429710182820097
165.6,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00472496790292039,0.00433058123321932
187,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00515449190515654,0.00441503087878895
223.28,164.816,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00588588165636457,0.00462840898195659
35.19,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00196374592315434,0.00447470630057372
46.06,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00220736886304316,0.00442127354389907
54.39,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0023894588287263,0.00438494122905553
62.2,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00255582774087609,0.00435443330924222
68,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00267628443613732,0.00433402808060695
74.5,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00280800973345076,0.00431355922789701
80.9,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00293512021034756,0.00429608410304603
87.3,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00306070338188346,0.00428139815912815
93,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00317210503350841,0.00427066099688555
99,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00328975257216744,0.00426162442560728
106.5,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00343863813143671,0.00425328134861076
114.62,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00360309404565426,0.00424760287569821
121.7,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00374891382854537,0.00424553861131823
130.64,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00393558910576882,0.00424707154449804
141.7,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00416928171903339,0.00425595708505343
153.18,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00441346077687027,0.00427391070110933
165.6,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00467813193515935,0.00430341569815969
187,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00513504312123327,0.00437781649903841
223.28,168.8,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00591212321465563,0.00456649818960269
35.19,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00179419524026954,0.00444337558695311
46.06,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00204678310526726,0.00439449765626288
54.39,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00223631327601072,0.00436123997814229
62.2,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00241019695335976,0.00433331596761153
68,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00253661755745841,0.00431464285758872
74.5,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00267543199944554,0.00429590445878058
80.9,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00280984768562065,0.00427987517924823
87.3,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00294293469066529,0.00426635441831565
93,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00306108660981157,0.00425642379914463
99,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00318580841474366,0.00424803138890253
106.5,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00334333987504417,0.00424027499826567
114.62,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00351679119256105,0.00423504296104179
121.7,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00367017938899907,0.00423320251866343
130.64,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00386611847579629,0.0042347333890043
141.7,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00411094556609709,0.00424304192198994
153.18,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00436647162625641,0.00425959258719089
165.6,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00464332187813503,0.00428662961547011
187,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00512101866514645,0.00435465156080919
223.28,171.824,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00593277397988447,0.00452736233510415
35.19,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00161791308491608,0.00441535685538048
46.06,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00187963459420682,0.00437059175107521
54.39,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00207682683742393,0.00434011633434588
62.2,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00225852081958704,0.00431453597200419
68,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00239118702700963,0.00429743885380634
74.5,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00253747194751346,0.004280283121467
80.9,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0026796198618494,0.00426558946840414
87.3,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00282066745513061,0.00425316291115191
93,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00294598419041735,0.00424400756878658
99,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00307820730666719,0.00423625330844857
106.5,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00324487880933792,0.00422910097262442
114.62,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00342779102913937,0.00422435013047805
121.7,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00358910217935633,0.00422277823709273
130.64,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00379469941710924,0.0042243939302598
141.7,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00405109241148903,0.00423230315188916
153.18,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00431838246275977,0.00424773949208897
165.6,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00460785717509211,0.00427274337175114
187,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00510710006278412,0.00433539688003319
223.28,174.962,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00595480045582793,0.0044944163586318
35.19,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00145920558402228,0.00439409190840249
46.06,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00172899716337212,0.00435248043360894
54.39,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00193302814033782,0.00432414702525425
62.2,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00212175264723323,0.00430037710431102
68,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00226007979207629,0.00428450239723462
74.5,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00241317390779155,0.00426858269873577
80.9,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00256239719847747,0.00425494639863245
87.3,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00271074358379483,0.00424340528495932
93,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00284263216806642,0.00423489603314261
99,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0029817294066922,0.0042276924192231
106.5,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00315675354568653,0.00422108165997902
114.62,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00334827114050841,0.00421677791593682
121.7,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00351675776541505,0.00421547497133315
130.64,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0037310687356596,0.00421723524459425
141.7,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00399786091938947,0.00422495044229947
153.18,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00427570932139723,0.00423967808052092
165.6,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0045765131609391,0.00426331672818374
187,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00509509264309492,0.00432225765698814
223.28,177.784,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0059750555392785,0.00447157972186245
35.19,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00130483334106035,0.00437697572300753
46.06,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00158234434233031,0.00433792496526482
54.39,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00179297734772316,0.00431134383421892
62.2,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00198854071074139,0.00428906421118366
68,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00213240796342982,0.00427420230029316
74.5,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00229219846426943,0.00425931603152883
80.9,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00244840328487822,0.00424657810079376
87.3,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00260396368926622,0.00423580777421397
93,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0027423497873799,0.00422787850699348
99,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00288823764110905,0.00422118660206473
106.5,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00307149262774555,0.00421509820065369
114.62,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00327145480066482,0.00421124141657822
121.7,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00344695565367762,0.00421022566417296
130.64,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00366975534846223,0.00421218986384456
141.7,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00394664675032499,0.00421986553203761
153.18,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00423473238244153,0.00423416442032326
165.6,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00454651977288434,0.00425688365656695
187,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00508384791204725,0.004313196026558
223.28,180.528,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00599509775697755,0.00445540531911636
35.19,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0011382638074348,0.00436240243474412
46.06,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00142396956414224,0.00432554464642402
54.39,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00164167559906182,0.00430048644812958
62.2,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.0018446203325767,0.00427951881987822
68,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00199450232099893,0.00426555936164898
74.5,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00216159679021427,0.00425160664142179
80.9,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00232544072738363,0.00423969681600456
87.3,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00248890684189256,0.00422965674411382
93,183.49,51,1,"Non-Hispanic White","Less than HS",2.37,"Never","No",-0.00263441520082423,0.00422229527920697
